id,title,titre,department,ministere,downloads_telechargements,month_mois,year_annee
0968ddc5-710e-4388-b379-184764df6f4c,Darlington New Nuclear Project - Information and Reports,Projet de nouvelle centrale nucléaire de Darlington -  Informations et rapports,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,27,1,2025
5abd4282-d5b0-4ac5-ac78-7210a61befdf,Canadian Charter of Rights and Freedoms in Indigenous languages,Charte canadienne des droits et libertés en langues autochtones,Canadian Heritage,Patrimoine canadien,27,1,2025
66c24181-b6d5-445c-8d92-fda6a8294a5a,Pre-approved Routine Impact Assessments,Évaluation d’impact courante préapprouvée,Parks Canada,Parcs Canada,26,1,2025
ef0e0f90-c30c-4dce-810f-3a64f1115e78,GC HR and Pay – Quarterly Update Events,RH et paye du GC – Mises à jour trimestrielles,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,26,1,2025
791de1ec-7fc8-48f1-a4e4-8bbaebc67080,"Single Window Initiative, Integrated Import Declaration (IID) - Regulated Commodities - Data Element Matching Criteria Table","Initiative du guichet unique, Déclaration intégrée des importations (DII) - Marchandises réglementées — tables de critères de correspondance des éléments de données",Canada Border Services Agency,Agence des services frontaliers du Canada,715,12,2024
06d31e10-a2a8-4d53-9ff3-567714a0a9f3,Canadian Charter of Rights and Freedoms in various languages,Charte canadienne des droits et libertés en différentes langues,Canadian Heritage,Patrimoine canadien,222,12,2024
92615302-ffa9-4c8b-9e60-d1cc1e7f2b23,Evaluation of RCMP Police Dog Services - Final report,Évaluation des Services cynophiles de la GRC - Rapport final,Royal Canadian Mounted Police,Gendarmerie royale du Canada,157,12,2024
e23241b9-36fa-4b02-968c-af7fed60ec03,GC HR and Pay - Program Management Committee,RH et paye du GC – Comité de gestion du programme,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,88,12,2024
ac988c2a-ce33-4e8e-bf64-2c052c50892f,Radionuclide Information Booklet,Livret d'information sur les radionucléides,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire,78,12,2024
60236652-5aa7-4452-b2e1-7f96197e927a,Policies - Temporary Foreign Worker Program,Politiques - Programme des travailleurs étrangers temporaires,Employment and Social Development Canada,Emploi et Développement social Canada,77,12,2024
4d62b706-304f-4194-91cc-18dfaf9a2a89,Non-advertised appointments by employment equity group - Fiscal years 2013 to 2023,"Nominations non annoncées, selon le groupe d’équité en matière d’emploi - Exercices financiers 2013 à 2023",Public Service Commission of Canada,Commission de la fonction publique du Canada,52,12,2024
3abb5c74-3bbf-4647-b1c1-fe8390e98223,The Criminal Code of Canada,Le Code criminel du Canada,Department of Justice Canada,Ministère de la Justice Canada,48,12,2024
5abd4282-d5b0-4ac5-ac78-7210a61befdf,Canadian Charter of Rights and Freedoms in Indigenous languages,Charte canadienne des droits et libertés en langues autochtones,Canadian Heritage,Patrimoine canadien,40,12,2024
17f69360-123a-4bd2-8eef-bba94468071f,"Immigration, Refugees and Citizenship Canada Glossaries","Glossaires d’Immigration, Réfugiés et Citoyenneté Canada","Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",35,12,2024
20e546a9-f626-4e14-bdac-56f6803daf5b,GC HR and Pay - Unified Actions for Pay,RH et paye du GC – Actions unifiées pour la paye,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,35,12,2024
6a679258-5a4f-4c99-bd39-d507f9567790,Evaluation of the RCMP Air Service Program - Final Report,Évaluation du Service de l'air de la GRC - Rapport final,Royal Canadian Mounted Police,Gendarmerie royale du Canada,30,12,2024
4aa9018b-ffe2-49ad-812d-847ee883eee7,Separation Trends for Employment Equity Groups Fiscal Year 2022 to 2023,Tendances en matière de cessation d'emploi chez les groupes d’équité en matière d'emploi pour l’exercice financier 2022 à 2023,Public Service Commission of Canada,Commission de la fonction publique du Canada,26,12,2024
4f1c44a6-1ecf-4da7-a1da-058b1ff9ce06,Canada's Food Guide Research Tools - Data and Resources,Outils de recherche basés sur le Guide alimentaire canadien - Données et ressources,Health Canada,Santé Canada,24,12,2024
eaeb269c-6ac5-4429-a5aa-1fcc07c77933,Algorithmic Impact Assessment - Client Reporting and Engagement System (CRES)/ReportIn,Évaluation d’incidence algorithmique - Système de Rapports et d’engagement des Clients (SREC)/JeMePrésente,Canada Border Services Agency,Agence des services frontaliers du Canada,24,12,2024
cf9ba695-59dc-4cc0-8a52-94ff6d9db665,The Open Government Guidebook,Guide du gouvernement ouvert,Treasury Board of Canada Secretariat,Secrétariat du Conseil du Trésor du Canada,22,12,2024
f95dbd40-1236-428c-acd1-25b7559686be,Family Class Spouses and Partners Overseas Applications,Demandes des époux et des conjoints de la catégorie du regroupement familial à l’étranger,"Immigration, Refugees and Citizenship Canada","Immigration, Réfugiés et Citoyenneté Canada",21,12,2024
123aefbb-c9cb-4243-9be3-7f901daf13f7,Old Age Security Extended Absence Leave Prioritization,Priorisation des absences prolongées pour la Sécurité de la vieillesse,Employment and Social Development Canada,Emploi et Développement social Canada,20,12,2024
00df4861-94fc-4d78-8ad4-0aa8cc8bb46e,GC HR and Pay - Deputy Minister Sponsoring Group,RH et paye du GC - Groupe de parrainage des sous-ministres,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,19,12,2024
544eb845-53f9-450a-b453-bea295628344,SSHRC's performance in 2023-24: Report on Competitions,Rendement du CRSH en 2023-2024 : Rapport sur les concours,Social Sciences and Humanities Research Council of Canada,Conseil de recherches en sciences humaines du Canada,19,12,2024
